'河南省促进高新技术产业发展条例',河南省人民代表大会常务委员会,2011-06-13,现行有效,地方性法规及文件
'睢县人民政府关于2014年三夏生产及农业产业集群培育工作意见',商丘市睢县人民政府,2014-05-26,现行有效,地方政府规章及文件
'睢县人民政府办公室关于印发睢县腾飞制鞋产业园项目入驻管理办法的通知',商丘市睢县人民政府办公室,2014-05-23,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于促进创业投资和产业投资基金健康发展的意见',河南省人民政府办公厅,2014-05-15,现行有效,地方政府规章及文件
'河南省人民政府关于加快旅游产业转型升级的意见',河南省人民政府,2014-05-15,现行有效,地方政府规章及文件
'河南省人民政府关于促进高新技术产业开发区发展的意见',河南省人民政府,2014-05-13,现行有效,地方政府规章及文件
'禹州市人民政府关于开展产业提升活动的实施意见',禹州市人民政府,2014-05-12,现行有效,地方政府规章及文件
'关于进一步加强和完善产业集聚区统计工作的通知',灵宝市人民政府,2014-05-12,现行有效,地方政府规章及文件
'夏邑县人民政府关于创建省级专业示范产业集聚区的实施意见',商丘市夏邑县人民政府,2014-05-09,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《2014年河南省加快产业集聚区建设专项工作方案》的通知',河南省人民政府办公厅,2014-05-08,已失效,地方政府规章及文件
'邓州市人民政府办公室关于印发邓州市奶牛产业发展奖励方案的通知',邓州市人民政府办公室,2014-05-04,现行有效,地方政府规章及文件
'汤阴县人民政府关于支持生物医药产业加快发展的意见',安阳市汤阴县人民政府,2014-04-10,现行有效,地方政府规章及文件
'关于印发《河南省促进铅酸蓄电池和再生铅产业规范发展的工作方案》的通知',河南省工业和信息化厅;河南省环境保护厅;河南省商务厅;河南省发展和改革委员会;河南省财政厅,2014-03-26,现行有效,地方政府规章及文件
'淮滨县人民政府关于印发淮滨县金融机构支持产业集聚区及县域经济发展考核奖励办法(修订)的通知',信阳市淮滨县人民政府,2014-03-26,现行有效,地方政府规章及文件
'平舆县人民政府关于加强县产业集聚区安全生产工作的意见',驻马店市平舆县人民政府,2014-03-26,现行有效,地方政府规章及文件
'河南省工业和信息化厅关于创建中小企业特色产业集群的指导意见',河南省工业和信息化厅,2014-03-22,现行有效,地方政府规章及文件
'新县人民政府关于加快中药材产业发展的意见',信阳市新县人民政府,2014-03-15,现行有效,地方政府规章及文件
'确山县人民政府办公室关于加强产业集聚区安全生产工作的意见',驻马店市确山县人民政府办公室,2014-03-15,现行有效,地方政府规章及文件
'河南省工业和信息化厅关于印发2014年河南省创建新型工业化产业示范基地行动计划的通知',河南省工业和信息化厅,2014-03-13,现行有效,地方政府规章及文件
'平顶山市石龙区人民政府关于加快文化产业发展的实施意见',平顶山市石龙区人民政府,2014-03-10,现行有效,地方政府规章及文件
'潢川县人民政府关于整合涉农项目资金支持新型农村社区、农田水利、高标准粮田建设和花木产业集群发展的实施意见',信阳市潢川县人民政府,2014-03-05,现行有效,地方政府规章及文件
'汤阴县人民政府关于进一步加快全县文化旅游产业发展的意见',安阳市汤阴县人民政府,2014-02-25,现行有效,地方政府规章及文件
'商城县人民政府办公室关于转发《2014年商城县旅游产业要素工程建设要点》的通知',信阳市商城县人民政府办公室,2014-02-24,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市超硬材料产业集群发展规划(2014-2020年)的通知',郑州市人民政府,2014-02-14,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市新能源汽车动力电池及其他关键零部件产业集群发展规划(2014-2020年)的通知',郑州市人民政府,2014-02-14,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市电子信息产业提升规划(2014-2020年)的通知',郑州市人民政府,2014-02-14,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市汽车及装备制造产业提升发展专项规划(2014-2020年)的通知',郑州市人民政府,2014-02-14,现行有效,地方政府规章及文件
'新县人民政府办公室关于印发新县油茶产业“两园”建设实施方案的通知',信阳市新县人民政府办公室,2014-01-22,现行有效,地方政府规章及文件
'河南省人民政府关于加快流通产业发展推进现代商品市场体系建设的意见',河南省人民政府,2014-01-15,现行有效,地方政府规章及文件
'商城县人民政府办公室转发县产业集聚区管委会关于《2014年商城县产业集聚区建设工作方案》的通知',信阳市商城县人民政府办公室,2014-01-14,现行有效,地方政府规章及文件
'河南省发展和改革委员会关于完善产业聚集区电价政策的通知',河南省发展和改革委员会,2014-01-03,现行有效,地方政府规章及文件
'关于加强产业集聚区要素保障平台建设的实施意见',辉县市人民政府,2014,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市智能终端(手机)产业集群发展规划(2014-2020年)的通知',郑州市人民政府,2014,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市新型耐材产业集群发展规划(2014-2020年)的通知',郑州市人民政府,2014,现行有效,地方政府规章及文件
'许昌县人民政府办公室关于许昌县产业园区环境提升管理的实施意见',许昌市许昌县人民政府办公室,2014,现行有效,地方政府规章及文件
'关于转发《国家发展改革委办关于印发加快国家高技术产业基地创新发展的指导意见》的通知',河南省发展和改革委员会,2014,现行有效,地方政府规章及文件
'商城县人民政府办公室关于2014—2015年度茶产业发展的指导意见',信阳市商城县人民政府办公室,2014,现行有效,地方政府规章及文件
'河南省人民政府关于加快发展节能环保产业的实施意见',河南省人民政府,2013-12-16,现行有效,地方政府规章及文件
'河南省人民政府关于加快推进产业结构战略性调整的指导意见',河南省人民政府,2013-12-10,现行有效,地方政府规章及文件
'罗山县人民政府办公室关于印发罗山县2014年茶产业发展工作指导意见的通知',信阳市罗山县人民政府办公室,2013-11-18,现行有效,地方政府规章及文件
'关于加快推进辉县市砂石产业园区项目建设的意见',辉县市人民政府,2013-11-15,现行有效,地方政府规章及文件
'河南省人民政府关于支持中关村南阳科技产业园加快发展的意见',河南省人民政府,2013-11-06,现行有效,地方政府规章及文件
'关于印发河南省传统产业技术创新工程等六个工程实施方案的通知',河南省科学技术厅,2013-10-31,现行有效,地方政府规章及文件
'西平县人民政府关于批转县监察局《西平县优化产业集聚区发展环境专项监督检查工作方案》的通知',驻马店市西平县人民政府,2013-10-28,现行有效,地方政府规章及文件
'关于印发禹州市城市规划区建筑和房地产业税收专项整顿工作实施方案的通知',禹州市人民政府办公室,2013-10-20,已失效,地方政府规章及文件
'长葛市人民政府关于进一步推动长葛市苏葛科技产业园有关工作的若干意见',长葛市人民政府,2013-10-19,现行有效,地方政府规章及文件
'平顶山市石龙区人民政府关于转发市政府《2013年平顶山市产业集聚区建设专项工作方案》的通知',平顶山市石龙区人民政府,2013-10-18,现行有效,地方政府规章及文件
'淮滨县人民政府关于印发淮滨县经济社会发展和产业集聚区发展统计监测工作方案的通知',信阳市淮滨县人民政府,2013-10-08,现行有效,地方政府规章及文件
'遂平县人民政府关于印发遂平县优化产业集聚区发展环境专项监督检查工作方案的通知',驻马店市遂平县人民政府,2013-09-29,现行有效,地方政府规章及文件
'内黄县人民政府关于批转县监察局《内黄县优化产业集聚区发展环境专项监督检查工作方案》的通知',安阳市内黄县人民政府,2013-09-27,现行有效,地方政府规章及文件
'关于印发河南省产业技术创新平台建设管理办法的通知',河南省科学技术厅,2013-09-26,已失效,地方政府规章及文件
'关于印发河南省产业技术创新战略联盟构建与发展实施办法的通知',河南省科学技术厅,2013-09-26,现行有效,地方政府规章及文件
'河南省发展和改革委员会关于转发《国家发展改革委关于发挥价格杠杆作用促进光伏产业健康发展的通知》的通知',河南省发展和改革委员会,2013-09-25,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《2013年河南省承接纺织服装鞋帽产业转移对接洽谈活动方案》的通知',河南省人民政府办公厅,2013-09-24,现行有效,地方政府规章及文件
'西峡县人民政府关于进一步加强产业集聚区项目建设工作的有关规定',南阳市西峡县人民政府,2013-09-20,现行有效,地方政府规章及文件
'郏县人民政府关于加快专业产业园发展的工作意见',平顶山市郏县人民政府,2013-09-16,现行有效,地方政府规章及文件
'孟州市人民政府办公室关于印发孟州市产业集聚区地名规划方案的通知',孟州市人民政府办公室,2013-09-04,现行有效,地方政府规章及文件
'河南省人民政府关于批转省监察厅《河南省优化产业集聚区发展环境专项监督检查工作方案》的通知',河南省人民政府,2013-09-02,现行有效,地方政府规章及文件
'驻马店市人民政府办公室关于印发驻马店市组团参加第十一届中国欧亚国际军民结合暨新兴产业博览会工作方案的通知',驻马店市人民政府办公室,2013-08-19,已失效,地方政府规章及文件
'河南省工业和信息化厅关于印发省级新型工业化产业示范基地复核工作方案的通知',河南省工业和信息化厅,2013-08-19,现行有效,地方政府规章及文件
'西平县人民政府办公室关于印发2013年西平县加快产业集聚区建设专项工作方案的通知',驻马店市西平县人民政府办公室,2013-08-15,现行有效,地方政府规章及文件
'上蔡县人民政府办公室关于印发上蔡县产业集聚区村庄征地拆迁补偿安置工作方案的通知',驻马店市上蔡县人民政府办公室,2013-08-07,现行有效,地方政府规章及文件
'淮滨县人民政府关于印发淮滨县金融机构支持产业集聚区及县域经济发展考核奖励办法的通知',信阳市淮滨县人民政府,2013-07-30,现行有效,地方政府规章及文件
'淮滨县人民政府关于印发淮滨县产业集聚区发展统计监测工作方案的通知',信阳市淮滨县人民政府,2013-07-30,现行有效,地方政府规章及文件
'河南省制造业产业转移集群引进工作领导小组办公室关于印发《2013中国(郑州)汽车及零部件产业转移对接活动工作方案》的通知',河南省制造业产业转移集群引进工作领导小组办公室,2013-07-24,已失效,地方政府规章及文件
'南阳市卧龙区人民政府关于企业入驻光电产业集聚区淯龙光电园优惠政策(试行)的意见',南阳市卧龙区人民政府,2013-07-24,现行有效,地方政府规章及文件
'息县人民政府关于印发息县鼓励投资产业集聚区工业项目优惠办法的通知',信阳市息县人民政府,2013-07-09,现行有效,地方政府规章及文件
'开封市人民政府办公室关于印发开封市打造智能终端(手机)产业基地工作方案的通知',开封市人民政府办公室,2013-06-28,现行有效,地方政府规章及文件
'唐河县人民政府关于大力发展肉牛产业的实施意见',南阳市唐河县人民政府,2013-06-18,现行有效,地方政府规章及文件
'河南省人民政府关于印发信阳电子信息产业集聚示范区建设总体方案的通知',河南省人民政府,2013-06-09,现行有效,地方政府规章及文件
'河南省人民政府关于批转《河南省文化产业“双十”工程实施方案》的通知',河南省人民政府,2013-06-09,现行有效,地方政府规章及文件
'长葛市人民政府办公室关于印发长葛市建筑和房地产业经营秩序专项检查工作方案的通知',长葛市人民政府办公室,2013-06-05,已失效,地方政府规章及文件
'河南省人民政府办公厅关于转发《2013年河南省加快产业集聚区建设专项工作方案》的通知',河南省人民政府办公厅,2013-06-04,现行有效,地方政府规章及文件
'开封市人民政府关于支持重点新兴产业做大做强的若干意见(试行)',开封市人民政府,2013-05-23,已失效,地方政府规章及文件
'兰考县人民政府办公室关于印发兰考县产业集聚区重点项目实行联审联批办法的通知',开封市兰考县人民政府办公室,2013-05-22,现行有效,地方政府规章及文件
'郑州市人民政府关于加快军民结合产业发展的意见',郑州市人民政府,2013-04-28,现行有效,地方政府规章及文件
'河南省工业和信息化厅、河南省环境保护厅、河南省商务厅、河南省发展改革委员会、河南省财政厅转发《工业和信息化部、环境保护部、商务部、发展改革委、财政部关于促进铅酸蓄电池和再生铅产业规范发展的意见》的通知',河南省工业和信息化厅;河南省环境保护厅;河南省商务厅;河南省发展和改革委员会;河南省财政厅,2013-04-24,现行有效,地方政府规章及文件
'长葛市人民政府关于印发长葛市促进旅游产业发展实施方案的通知',长葛市人民政府,2013-04-07,现行有效,地方政府规章及文件
'漯河市郾城区人民政府关于调整淞江产业集聚区财政管理体制的意见',漯河市郾城区人民政府,2013-04-07,已失效,地方政府规章及文件
'林州市人民政府关于加快全市汽配铸造产业转型升级的实施意见',林州市人民政府,2013-03-26,现行有效,地方政府规章及文件
'淅川县人民政府关于印发《淅川县扶持生态产业发展的意见(暂行)》的通知',南阳市淅川县人民政府,2013-03-25,现行有效,地方政府规章及文件
'漯河市郾城区人民政府关于严厉打击淞江产业集聚区规划区域内私搭乱建违法建设行为的通告',漯河市郾城区人民政府,2013-03-22,现行有效,地方政府规章及文件
'洛阳市人民政府关于印发2013年洛阳市产业集聚区提质转型发展实施方案的通知',洛阳市人民政府,2013-03-19,现行有效,地方政府规章及文件
'舞阳县人民政府关于加快推进建成区产业“退二进三”促进协调发展的意见',漯河市舞阳县人民政府,2013-03-13,现行有效,地方政府规章及文件
'鲁山县人民政府关于印发鲁山县产业集聚区2013年工作意见的通知',平顶山市鲁山县人民政府,2013-03-04,现行有效,地方政府规章及文件
'河南省工业和信息化厅关于印发河南省工业产品生产许可产业政策确认暂行办法的通知',河南省工业和信息化厅,2013-03-01,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于转发市文产办《2013年全市文化产业重点项目推进意见》的通知',洛阳市人民政府办公室,2013-02-27,现行有效,地方政府规章及文件
'禹州市人民政府办公室关于转发《2013年禹州市产业集聚区“1136”提升计划》的通知',禹州市人民政府办公室,2013-02-21,现行有效,地方政府规章及文件
'洛阳市人民政府关于印发洛阳市“4+2”重点产业招商行动计划的通知',洛阳市人民政府,2013-02-17,现行有效,地方政府规章及文件
'河南省人民政府关于批转《河南省文化产业发展战略重点方案》的通知',河南省人民政府,2013-02-08,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于进一步促进烟草产业加快转变发展方式的意见',河南省人民政府办公厅,2013-02-07,现行有效,地方政府规章及文件
'郑州市人民政府关于印发郑州市新能源汽车示范带动和产业发展行动计划(2013—2015年)的通知',郑州市人民政府,2013-01-30,现行有效,地方政府规章及文件
'河南省人民政府关于印发河南省“十二五”节能环保产业发展规划的通知',河南省人民政府,2013-01-10,已失效,地方政府规章及文件
'郑州市人民政府关于支持郑州市汽车产业发展的若干意见',郑州市人民政府,2013-01-07,现行有效,地方政府规章及文件
'郑州市人民政府关于进一步加快产业集聚区功能集合构建的指导意见',郑州市人民政府,2013,现行有效,地方政府规章及文件
'关于进一步规范产业集聚区项目建设工作的若干规定(试行)',南阳市桐柏县人民政府,2013,现行有效,地方政府规章及文件
'周口市人民政府办公室关于印发周口市承接产业转移加快工业项目建设专项工作方案的通知',周口市人民政府办公室,2012-12-17,现行有效,地方政府规章及文件
'洛阳市人民政府关于加快发展服务外包产业的意见',洛阳市人民政府,2012-12-17,已失效,地方政府规章及文件
'开封市人民政府办公室关于印发开封市承接产业转移专项工作方案的通知',开封市人民政府办公室,2012-12-12,现行有效,地方政府规章及文件
'开封市人民政府办公室关于进一步加强2012中国(郑州)产业转移系列对接活动签约项目跟踪落实工作的通知',开封市人民政府办公室,2012-12-12,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《河南省承接产业转移示范区创建工作实施意见》的通知',河南省人民政府办公厅,2012-12-10,现行有效,地方政府规章及文件
'民权县人民政府关于印发民权县建设中原经济区承接产业转移示范县总体方案的通知',商丘市民权县人民政府,2012-12-05,现行有效,地方政府规章及文件
'舞阳县人民政府办公室关于印发舞阳县蔬菜产业发展规划(2012—2016年)的通知',漯河市舞阳县人民政府办公室,2012-11-28,现行有效,地方政府规章及文件
'光山县人民政府办公室关于2013年茶产业发展的意见',信阳市光山县人民政府办公室,2012-11-20,现行有效,地方政府规章及文件
'潢川县人民政府关于印发潢川县2013年茶产业发展工作意见的通知',信阳市潢川县人民政府,2012-11-09,现行有效,地方政府规章及文件
'河南省人民政府办公厅转发《关于进一步加快河南省新型工业化产业示范基地创建工作意见》的通知',河南省人民政府办公厅,2012-11-01,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省推动科技创新培育战略性新兴产业专项工作方案的通知',河南省人民政府办公厅,2012-11-01,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省承接产业转移专项工作方案的通知',河南省人民政府办公厅,2012-10-29,现行有效,地方政府规章及文件
'开封市人民政府办公室关于印发中国(开封)菊花高新科技产业园(一期工程)建设实施方案的通知',开封市人民政府办公室,2012-10-26,现行有效,地方政府规章及文件
'林州市人民政府关于加快电动汽车产业发展的意见',林州市人民政府,2012-10-24,现行有效,地方政府规章及文件
'周口市人民政府办公室转发《河南省人民政府办公厅关于促进全省广告产业发展的意见》的通知',周口市人民政府办公室,2012-09-26,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于转发《商丘市承接区域性产业转移招商引资工作方案》的通知',商丘市人民政府办公室,2012-09-21,现行有效,地方政府规章及文件
'洛阳市人民政府关于支持硅光伏产业链上下游企业开展合作的意见',洛阳市人民政府,2012-09-14,已失效,地方政府规章及文件
'唐河县人民政府关于加快推进农业机械制造产业园建设的若干意见',南阳市唐河县人民政府,2012-09-14,现行有效,地方政府规章及文件
'济源市人民政府办公室关于进一步规范房地产业发展的意见',济源市人民政府办公室,2012-09-13,现行有效,地方政府规章及文件
'郑州市发展和改革委员会关于转发《河南省“十二五”战略性新兴产业发展规划》的通知',郑州市发展和改革委员会,2012-09-13,现行有效,地方政府规章及文件
'郑州市发展改革委关于转发《“十二五”国家战略性新兴产业发展规划》的通知',郑州市发展和改革委员会,2012-09-13,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于转发《许昌市参加河南省承接产业转移区域性对接活动工作方案》的通知',许昌市人民政府办公室,2012-09-10,现行有效,地方政府规章及文件
'河南省工业和信息化厅转发工业和信息化部、国家安全生产监督管理总局《关于促进安全产业发展的指导意见》的通知',河南省工业和信息化厅,2012-09-10,现行有效,地方政府规章及文件
'固始县人民政府关于进一步促进全县新型墙体材料产业健康发展的实施意见',信阳市固始县人民政府,2012-09-10,现行有效,地方政府规章及文件
'周口市人民政府办公室关于印发周口市组团参加2012河南省承接长三角地区产业转移对接活动工作方案的通知',周口市人民政府办公室,2012-09-09,已失效,地方政府规章及文件
'开封市人民政府办公室关于印发河南省承接上海广东北京产业转移区域性对接活动开封市工作方案的通知',开封市人民政府办公室,2012-09-07,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于转发《许昌市参加2012中国(郑州)产业转移系列对接活动工作方案》的通知',许昌市人民政府办公室,2012-09-05,现行有效,地方政府规章及文件
'平顶山市人民政府办公室关于转发《2012中国(郑州)产业转移系列对接活动平顶山市工作方案》的通知',平顶山市人民政府办公室,2012-09-04,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于转发市商务局《鹤壁市参加河南省承接产业转移区域性对接活动工作方案》的通知',鹤壁市人民政府办公室,2012-08-31,现行有效,地方政府规章及文件
'鹤壁市人民政府办公室关于转发市工业和信息化局《鹤壁市参加2012中国(郑州)产业转移系列对接活动工作方案》的通知',鹤壁市人民政府办公室,2012-08-31,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于转发《商丘市参加2012中国(郑州)产业转移系列对接活动工作方案》的通知',商丘市人民政府办公室,2012-08-30,现行有效,地方政府规章及文件
'河南省财政厅关于支持我省汽车产业发展有关问题的通知',河南省财政厅,2012-08-29,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于促进全省广告产业发展的意见',河南省人民政府办公厅,2012-08-22,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《2012中国(郑州)产业转移系列对接活动河南省工作方案》的通知',河南省人民政府办公厅,2012-08-21,现行有效,地方政府规章及文件
'郑州市人民政府关于促进全市产业集聚区持续健康快速发展的意见',郑州市人民政府,2012-08-20,现行有效,地方政府规章及文件
'河南省人民政府关于印发河南省“十二五”战略性新兴产业发展规划的通知',河南省人民政府,2012-08-17,已失效,地方政府规章及文件
'洛阳市人民政府办公室关于转发《2012中国郑州产业转移系列对接活动洛阳市工作方案》的通知',洛阳市人民政府办公室,2012-08-17,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《河南省承接产业转移区域性对接活动工作方案》的通知',河南省人民政府办公厅,2012-08-03,现行有效,地方政府规章及文件
'周口市人民政府关于印发周口市产业集聚区主导产业发展指导意见的通知',周口市人民政府,2012-08-02,现行有效,地方政府规章及文件
'河南省人民政府关于印发商丘市建设中原经济区承接产业转移示范市总体方案的通知',河南省人民政府,2012-07-31,现行有效,地方政府规章及文件
'镇平县人民政府办公室关于印发镇平县鼓励引进机电建材针纺织等主导产业投资发展指导目录的通知',南阳市镇平县人民政府办公室,2012-07-23,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于印发2012年郑州市信息化建设和信息产业发展专项方案的通知',郑州市人民政府办公厅,2012-07-04,现行有效,地方政府规章及文件
'郑州市人民政府关于加快花卉苗木产业发展的意见',郑州市人民政府,2012-06-13,现行有效,地方政府规章及文件
'关于加快推进产业集聚区科学发展的实施意见',安阳市汤阴县人民政府,2012-06-08,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于加快发展体育产业的实施意见',商丘市人民政府办公室,2012-06-06,现行有效,地方政府规章及文件
'睢县人民政府关于2012年三夏生产及农业产业集群建设工作意见',商丘市睢县人民政府,2012-05-29,现行有效,地方政府规章及文件
'洛阳市人民政府关于印发洛阳市十二五文化产业发展规划的通知',洛阳市人民政府,2012-05-28,现行有效,地方政府规章及文件
'孟州市人民政府关于印发孟州市加快推进产业转型升级实施意见的通知',孟州市人民政府,2012-05-25,现行有效,地方政府规章及文件
'郑州市环境保护局关于转发《河南省环境保护厅加快推进产业集聚区建设2012年工作方案》的通知',郑州市环境保护局,2012-05-23,现行有效,地方政府规章及文件
'范县人民政府关于印发范县产业集聚区小微企业园入园项目实施办法(试行)的通知',濮阳市范县人民政府,2012-05-21,现行有效,地方政府规章及文件
'安阳市人民政府办公室关于印发安阳市实施光伏产业应用示范三千工程工作方案的通知',安阳市人民政府办公室,2012-05-07,现行有效,地方政府规章及文件
'许昌市人民政府关于进一步加快许昌市金融产业发展的意见',许昌市人民政府,2012-05-07,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《河南省2012年产业集聚区金融服务行动计划工作方案》的通知',河南省人民政府办公厅,2012-05-02,现行有效,地方政府规章及文件
'关于贯彻落实工信部联规(2012)47号文件精神进一步做好新型工业化产业示范基地创建工作的实施意见',河南省工业和信息化厅,2012-04-28,现行有效,地方政府规章及文件
'鹤壁市人民政府关于印发中国镁加工产业示范基地(鹤壁·中国镁谷)总体发展规划的通知',鹤壁市人民政府,2012-04-26,现行有效,地方政府规章及文件
'汤阴县人民政府办公室关于加快汤阴县省级产业集聚区发展的考核意见（试行）的通知',安阳市汤阴县人民政府办公室,2012-04-19,现行有效,地方政府规章及文件
'漯河市人民政府关于加快推进建成区产业“退二进三”促进协调发展的意见',漯河市人民政府,2012-04-17,现行有效,地方政府规章及文件
'许昌市人民政府办公室关于转发《2012年许昌市产业集聚区“2623”提速计划》的通知',许昌市人民政府办公室,2012-04-16,现行有效,地方政府规章及文件
'南阳市人民政府关于印发南阳市新型农村社区产业发展规划工作指导意见的通知',南阳市人民政府,2012-04-12,现行有效,地方政府规章及文件
'内黄县人民政府关于印发内黄县2012年陶瓷产业园区扬尘治理实施方案的通知',安阳市内黄县人民政府,2012-04-09,已失效,地方政府规章及文件
'平顶山市人民政府办公室关于确定平顶山市50个工业重大产业升级示范项目的通知',平顶山市人民政府办公室,2012-04-06,现行有效,地方政府规章及文件
'平顶山市人民政府关于批转《平顶山市2012年重点工业产业年度行动计划》的通知',平顶山市人民政府,2012-04-05,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于转发《2012年商丘市加快产业集聚区建设专项工作方案》的通知',商丘市人民政府办公室,2012-03-29,现行有效,地方政府规章及文件
'西峡县人民政府办公室关于印发2012年猕猴桃产业考评方案的通知',南阳市西峡县人民政府办公室,2012-03-28,已失效,地方政府规章及文件
'商丘市人民政府办公室关于转发《商丘市2012年产业优化升级专项工作方案》的通知',商丘市人民政府办公室,2012-03-26,现行有效,地方政府规章及文件
'镇平县人民政府办公室关于印发镇平县茶产业发展实施方案的通知',南阳市镇平县人民政府办公室,2012-03-26,现行有效,地方政府规章及文件
'洛阳市人民政府关于印发2012年洛阳市产业集聚区持续提升发展实施方案的通知',洛阳市人民政府,2012-03-20,现行有效,地方政府规章及文件
'鹤壁市人民政府关于印发《鹤壁市加快文化事业和文化产业发展若干政策(试行)》的通知',鹤壁市人民政府,2012-03-19,现行有效,地方政府规章及文件
'河南省人民政府关于促进全省产业集聚区持续健康快速发展的若干意见',河南省人民政府,2012-03-08,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《2012年河南省加快产业集聚区建设专项工作方案》的通知',河南省人民政府办公厅,2012-03-08,现行有效,地方政府规章及文件
'南阳市人民政府办公室关于加快发展体育产业的实施意见',南阳市人民政府办公室,2012-03-07,现行有效,地方政府规章及文件
'长葛市人民政府关于印发长葛市2012年产业产品结构调整行动方案的通知',长葛市人民政府,2012-03-06,现行有效,地方政府规章及文件
'河南省食品药品监督管理局关于促进医药产业健康快速发展的意见',河南省食品药品监督管理局,2012-03-05,现行有效,地方政府规章及文件
'周口市人民政府关于加快推进承接产业转移工作的实施意见',周口市人民政府,2012-03-05,现行有效,地方政府规章及文件
'平顶山市人民政府关于印发《平顶山市产业集聚区晋升激励考核实施办法(试行)》的通知',平顶山市人民政府,2012-03-03,现行有效,地方政府规章及文件
'平顶山市人民政府关于印发2012年平顶山市产业集聚区建设提升行动计划专项工作方案的通知',平顶山市人民政府,2012-03-03,现行有效,地方政府规章及文件
'平顶山市人民政府关于进一步优化资源配置推动产业集聚区持续健康快速发展的意见',平顶山市人民政府,2012-03-03,现行有效,地方政府规章及文件
'漯河市人民政府办公室关于明确2012年产业集聚区及重点项目建设工作责任单位的通知',漯河市人民政府办公室,2012-03-02,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于印发商丘市旅游产业发展领导小组成员单位任务分工方案的通知',商丘市人民政府办公室,2012-02-29,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于转发《河南省2012年重点工业产业年度行动计划》的通知',河南省人民政府办公厅,2012-02-25,现行有效,地方政府规章及文件
'郑州市人民政府办公厅关于做好郑州市承接产业转移统计工作的通知',郑州市人民政府办公厅,2012-02-24,现行有效,地方政府规章及文件
'范县人民政府关于印发范县产业集聚区入驻项目管理暂行办法的通知',濮阳市范县人民政府,2012-02-20,现行有效,地方政府规章及文件
'安阳市人民政府办公室关于印发2012年安阳市加快产业集聚区建设专项工作方案的通知',安阳市人民政府办公室,2012-02-14,现行有效,地方政府规章及文件
'长葛市人民政府办公室关于印发长葛市支持协会发展推动产业提升的意见的通知',长葛市人民政府办公室,2012-02-11,现行有效,地方政府规章及文件
'内黄县人民政府办公室关于印发内黄县花卉绿化苗木产业发展意见的通知',安阳市内黄县人民政府办公室,2012-02-09,现行有效,地方政府规章及文件
'河南省人民政府办公厅关于印发河南省“十二五”旅游产业发展规划的通知',河南省人民政府办公厅,2012-02-08,现行有效,地方政府规章及文件
'范县人民政府关于印发范县鼓励农村劳动力和大中专以上毕业生到县产业集聚区企业务工的若干优惠政策(试行)的通知',濮阳市范县人民政府,2012-02-08,现行有效,地方政府规章及文件
'漯河市人民政府关于加快我市电子信息产业发展的实施意见',漯河市人民政府,2012-01-18,现行有效,地方政府规章及文件
'商丘市人民政府办公室关于推进全市产业集聚区招商引资工作的意见',商丘市人民政府办公室,2012-01-04,现行有效,地方政府规章及文件
'洛阳市人民政府关于进一步加快发展体育产业的意见',洛阳市人民政府,2011-12-31,现行有效,地方政府规章及文件
'安阳市人民政府办公室关于印发安阳市“十二五”战略性新兴产业发展规划的通知',安阳市人民政府办公室,2011-12-21,现行有效,地方政府规章及文件
'安阳市人民政府办公室关于印发安阳市“十二五”旅游产业发展规划的通知',安阳市人民政府办公室,2011-12-21,现行有效,地方政府规章及文件
'长葛市人民政府关于转发《许昌市人民政府关于乡(镇、办)项目(企业)异地落户产业集聚区利益分配的指导意见(试行)》的通知',长葛市人民政府,2011-12-12,现行有效,地方政府规章及文件
'洛阳市人民政府办公室关于促进动漫产业发展的意见',洛阳市人民政府办公室,2011-11-24,已失效,地方政府规章及文件
'郑州市人民政府关于印发郑州市新材料产业发展规划纲要的通知',郑州市人民政府,2011-11-18,现行有效,地方政府规章及文件
