'湖南省人民代表大会常务委员会关于批准《长沙高新技术产业开发区条例》的决定',湖南省人民代表大会常务委员会,2014-11-26,现行有效,地方性法规及文件
'益阳市人民政府办公室关于印发益阳市蔬菜产业发展三年行动计划（2011－2013年）的通知',益阳市人民政府办公室,2011-04-12,现行有效,地方政府规章及文件
'湘阴县人民政府关于进一步促进房地产业提质升级的实施意见',岳阳市湘阴县人民政府,2011-04-12,现行有效,地方政府规章及文件
'关于继续实行全市省级产业园区收费优惠政策的通知',郴州市人民政府,2011-04-09,现行有效,地方政府规章及文件
'关于印发祁东县2011-2015年枣产业发展规划的通知',衡阳市祁东县人民政府,2011-04-06,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于进一步加快发展纺织产业的意见',湖南省人民政府办公厅,2011-03-25,现行有效,地方政府规章及文件
'关于印发《湘潭市加快发展“3+3”产业推进新型工业化行动方案》的通知',中共湘潭市委;湘潭市人民政府,2011-03-24,现行有效,地方政府规章及文件
'常德市人民政府办公室关于进一步加强房地产市场监管促进房地产业平稳健康发展的意见',常德市人民政府办公室,2011-03-23,现行有效,地方政府规章及文件
'江永县人民政府关于进一步加快蔬菜产业发展保障市场供应的意见',永州市江永县人民政府,2011-03-21,现行有效,地方政府规章及文件
'湖南省人民政府关于《长株潭城市群两型社会建设综合配套改革试验区产业发展体制改革专项方案》的批复',湖南省人民政府,2011-03-18,现行有效,地方政府规章及文件
'中共益阳市委办公室、益阳市人民政府办公室关于加快培育战略性新兴产业的实施意见',中共益阳市委办公室;益阳市人民政府办公室,2011-03-07,现行有效,地方政府规章及文件
'中共泸溪县委、泸溪县人民政府关于加快推进文化产业发展的决定',中共湘西土家族苗族自治州泸溪县委;湘西土家族苗族自治州泸溪县人民政府,2011-02-19,现行有效,地方政府规章及文件
'中共常德市委、常德市人民政府关于进一步促进旅游产业发展的意见',中共常德市委;常德市人民政府,2011-01-21,现行有效,地方政府规章及文件
'湘潭高新区管委会关于印发湘潭国家高新区扶持新能源装备制造产业链群发展的若干规定（试行）的通知',湘潭高新技术产业开发区管理委员会,2010-12-31,现行有效,地方政府规章及文件
'湘潭高新区管委会关于印发湘潭国家高新区加快钢材深加工产业发展的若干规定（试行）的通知',湘潭高新技术产业开发区管理委员会,2010-12-31,现行有效,地方政府规章及文件
'湖南省人民政府关于实施粮油深加工及物流千亿产业工程的意见',湖南省人民政府,2010-12-26,现行有效,地方政府规章及文件
'娄底市人民政府关于进一步推进湖南黑猪和湘中黑牛产业发展的意见',娄底市人民政府,2010-12-23,现行有效,地方政府规章及文件
'资阳市人民政府关于印发《资阳市节能产业发展奖励政策》的通知',资阳市人民政府,2010-12-20,已失效,地方政府规章及文件
'资阳市人民政府办公室关于印发《资阳市节能产业发展导向目录(2010－2012年)》的通知',资阳市人民政府办公室,2010-12-06,现行有效,地方政府规章及文件
'湖南省人民政府关于加快蔬菜产业发展保障市场供应的意见',湖南省人民政府,2010-11-30,现行有效,地方政府规章及文件
'娄底市人民政府办公室印发关于加快蔬菜产业的发展实施方案的通知',娄底市人民政府办公室,2010-11-12,现行有效,地方政府规章及文件
'湖南省人民政府办公厅转发省财政厅、省国税局、省地税局《关于支持新能源产业发展若干意见》的通知',湖南省人民政府办公厅,2010-11-11,已失效,地方政府规章及文件
'永兴县人民政府关于促进房地产业健康发展的若干意见(试行)',郴州市永兴县人民政府,2010-10-20,现行有效,地方政府规章及文件
'澧县人民政府关于加快石膏产业发展的意见',常德市澧县人民政府,2010-10-12,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《支持湘菜产业发展的若干财税政策措施》的通知',湖南省人民政府办公厅,2010-10-10,现行有效,地方政府规章及文件
'衡阳市人民政府办公室关于印发衡阳市高新技术产业开发区管理委员会主要职责内设机构和人员编制规定的通知',衡阳市人民政府办公室,2010-09-21,现行有效,地方政府规章及文件
'宁南县人民政府办公室关于印发王显晖同志在全县冬季马铃薯产业发展会议上的讲话的通知',凉山彝族自治州宁南县人民政府办公室,2010-09-15,现行有效,地方政府规章及文件
'宁南县人民政府关于2010年冬季马铃薯产业发展的实施意见',凉山彝族自治州宁南县人民政府,2010-09-15,现行有效,地方政府规章及文件
'湖南省承接产业转移发展加工贸易工作领导小组关于印发《湖南省承接产业转移重点（试点）县（市区）动态管理考核办法》的通知',湖南省承接产业转移发展加工贸易工作领导小组,2010-09,现行有效,地方政府规章及文件
'中共湖南省委、湖南省人民政府关于加快培育发展战略性新兴产业的决定',中共湖南省委;湖南省人民政府,2010-08-30,现行有效,地方政府规章及文件
'中共湖南省委办公厅、湖南省人民政府办公厅关于印发《湖南省培育发展战略性新兴产业部门责任分工》的通知',中共湖南省委办公厅;湖南省人民政府办公厅,2010-08-30,现行有效,地方政府规章及文件
'潼南县人民政府办公室关于印发《潼南县林下产业实施办法》的通知',重庆市潼南县人民政府办公室,2010-08-25,现行有效,地方政府规章及文件
'岳阳市人民政府关于促进房地产业提质升级的意见',岳阳市人民政府,2010-08-23,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于支持湖南城陵矶临港产业新区加快发展的意见',湖南省人民政府办公厅,2010-08-06,已失效,地方政府规章及文件
'资阳市人民政府办公室关于印发《整合资源进一步做大做强雁江蜜柑产业的实施方案》的通知',资阳市人民政府办公室,2010-07-26,现行有效,地方政府规章及文件
'中共耒阳市委、耒阳市人民政府关于印发《耒阳市鼓励投资旅游产业的优惠政策》的通知',中共耒阳市委;耒阳市人民政府,2010-07-20,现行有效,地方政府规章及文件
'关于进一步做好承接产业转移促进园区企业用工的实施意见',郴州市人民政府,2010-07-19,现行有效,地方政府规章及文件
'益阳市人民政府关于印发《益阳市食品产业发展规划（2010－2015年）》的通知',益阳市人民政府,2010-07-01,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于加快高技术产业基地建设的意见',湖南省人民政府办公厅,2010-07-01,已失效,地方政府规章及文件
'湖南省人民政府关于印发《湖南省文化产业振兴实施规划(２０１０－２０１２年)》的通知',湖南省人民政府,2010-06-22,现行有效,地方政府规章及文件
'娄底市人民政府关于印发《娄底市促进电动汽车产业发展的若干政策规定》的通知',娄底市人民政府,2010-06-13,现行有效,地方政府规章及文件
'常宁市人民政府关于促进金融机构支持油茶产业发展的通知',常宁市人民政府,2010-06-02,现行有效,地方政府规章及文件
'岳阳市岳阳楼区人民政府关于加强湖南城陵矶临港产业新区规划管理的通告',岳阳市岳阳楼区人民政府,2010-05-15,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于郴州有色金属产业园区(郴州出口加工区)暂缓对白露塘镇学校和医院托管的批复',郴州市人民政府办公室,2010-04-22,现行有效,地方政府规章及文件
'汝城县人民政府办公室关于印发汝城县大中型水库库区移民油茶产业开发管理办法的通知',郴州市汝城县人民政府办公室,2010-04-13,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《2010年湖南承接珠三角产业转移活动周工作方案》的通知',湖南省人民政府办公厅,2010-04-08,现行有效,地方政府规章及文件
'关于进一步做好全省承接产业转移统计工作的紧急通知',湖南省承接产业转移发展加工贸易领导小组办公室,2010-04-07,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于湖南高视伟业电子集团（郴州高斯贝尔数码产业基地）享受省级产业园区企业优惠政策的批复',郴州市人民政府办公室,2010-03-24,现行有效,地方政府规章及文件
'耒阳市人民政府办公室关于加强全市第三产业税收征管工作的通知',耒阳市人民政府办公室,2010-03-24,现行有效,地方政府规章及文件
'关于进一步加快生猪产业发展的意见',湘西土家族苗族自治州人民政府,2010-03-01,现行有效,地方政府规章及文件
'湖南省承接产业转移发展加工贸易领导小组办公室关于下达2010年承接产业转移发展加工贸易工作目标的通知',湖南省承接产业转移发展加工贸易领导小组办公室,2010-02-24,现行有效,地方政府规章及文件
'湖南省承接产业转移发展加工贸易领导小组办公室关于印发《湖南省承接产业转移发展加工贸易工作考核暂行办法》的通知',湖南省承接产业转移发展加工贸易领导小组办公室,2010-02-10,现行有效,地方政府规章及文件
'常宁市人民政府关于印发《常宁市油茶产业保护管理办法》的通知',常宁市人民政府,2010-02-09,现行有效,地方政府规章及文件
'转发市信息产业局《移动电子商务发展规划》',株洲市人民政府办公室,2010-02-03,现行有效,地方政府规章及文件
'湖南省商务厅关于对《2010湖南承接产业转移珠三角招商活动周方案》征求意见的紧急通知',湖南省商务厅,2010-01-28,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于进一步支持烟草产业发展的通知',郴州市人民政府办公室,2010-01-15,现行有效,地方政府规章及文件
'中共湖南省委办公厅、湖南省人民政府办公厅关于加快发展食品产业的意见',中共湖南省委办公厅;湖南省人民政府办公厅,2010-01-12,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省新能源产业振兴实施规划（2010—2020年）》的通知',湖南省人民政府办公厅,2010-01-09,现行有效,地方政府规章及文件
'益阳市人民政府关于印发《益阳市船舶产业发展规划纲要(2009－2015年)》的通知',益阳市人民政府,2009-11-30,现行有效,地方政府规章及文件
'转发《中国人民银行、商务部、中国银行业监督管理委员会、中国证券监督管理委员会、中国保险监督管理委员会、国家外汇管理局关于金融支持服务外包产业发展的若干意见》的通知',中国人民银行长沙中心支行;湖南省商务厅;中国银行业监督管理委员会湖南监管局;中国证券监督管理委员会湖南监管局;中国保险监督管理委员会湖南监管局;国家外汇管理局湖南省分局,2009-11-10,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发《湖南省环境保护产业发展规划(２００９—２０１５年)》的通知',湖南省人民政府办公厅,2009-11-09,现行有效,地方政府规章及文件
'常德市人民政府办公室关于大力发展电子信息产业的意见',常德市人民政府办公室,2009-11-09,现行有效,地方政府规章及文件
'湖南省人民政府关于加快发展环保产业的意见',湖南省人民政府,2009-11-06,现行有效,地方政府规章及文件
'新晃侗族自治县人民政府办公室转发县农业局、县统计局《新晃侗族自治县柑桔产业普查工作实施方案》的通知',怀化市新晃侗族自治县人民政府办公室,2009-11-02,现行有效,地方政府规章及文件
'湖南省物价局、湖南省财政厅关于发布全省信息产业系统行政事业性收费项目和标准的通知',湖南省物价局;湖南省财政厅,2009-10-09,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于进一步支持烟草产业发展的通知',湖南省人民政府办公厅,2009-09-21,现行有效,地方政府规章及文件
'资阳市人民政府关于进一步加快医药产业发展的意见',资阳市人民政府,2009-09-17,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于进一步明确郴州有色金属产业园区管理委员会(郴州出口加工区管理局)托管白露塘镇有关问题的通知',郴州市人民政府办公室,2009-09-15,现行有效,地方政府规章及文件
'湖南省人民政府关于推进军民融合产业发展的意见',湖南省人民政府,2009-09-12,现行有效,地方政府规章及文件
'怀化市人民政府关于积极承接产业转移促进加工贸易发展的意见',怀化市人民政府,2009-09-01,现行有效,地方政府规章及文件
'湖南省财政厅、湖南省地税局转发《财政部、国家税务总局关于扶持动漫产业发展有关税收政策问题的通知》',湖南省财政厅;湖南省地方税务局,2009-08-31,现行有效,地方政府规章及文件
'永州市人民政府关于加快油茶产业发展的若干意见',永州市人民政府,2009-08-31,现行有效,地方政府规章及文件
'岳阳市人民政府办公室关于印发湖南城陵矶临港产业新区三年开发建设工作方案的通知',岳阳市人民政府办公室,2009-08-29,现行有效,地方政府规章及文件
'桂东县人民政府办公室关于印发桂东县鼓励投资暨承接沿海产业转移促进加工贸易发展实施细则等3个文件的通知',郴州市桂东县人民政府办公室,2009-08-05,现行有效,地方政府规章及文件
'资兴市人民政府关于全市产业园区生产性项目报建收费合并征收工作的实施意见(试行)',资兴市人民政府,2009-07-31,现行有效,地方政府规章及文件
'常德市人民政府办公室关于推进市城区房地产业快速发展的意见',常德市人民政府办公室,2009-07-25,已失效,地方政府规章及文件
'常德市人民政府办公室关于推进市城区房地产业快速发展的意见',常德市人民政府办公室,2009-07-25,已失效,地方政府规章及文件
'益阳市人民政府关于加快蔬菜产业发展的意见',益阳市人民政府,2009-06-30,现行有效,地方政府规章及文件
'衡山县人民政府印发《关于促进我县房地产业稳定健康发展的若干意见》的通知',衡阳市衡山县人民政府,2009-06-29,已失效,地方政府规章及文件
'关于印发《湖南省承接产业转移重点县动态管理考核暂行办法》的通知',湖南省承接产业转移发展加工贸易领导小组办公室,2009-06-15,已失效,地方政府规章及文件
'湖南省人民政府关于印发《湖南省生物医药产业振兴实施规划(２００９—２０１１年)》的通知',湖南省人民政府,2009-06-11,现行有效,地方政府规章及文件
'湖南省人民政府关于印发《湖南省新材料产业振兴实施规划(２００９—２０１１年)》的通知',湖南省人民政府,2009-06-11,现行有效,地方政府规章及文件
'湖南省人民政府关于印发《湖南省汽车产业振兴实施规划(２００９—２０１１年)》的通知',湖南省人民政府,2009-06-11,现行有效,地方政府规章及文件
'湖南省人民政府关于印发《湖南省钢铁产业振兴实施规划(２００９—２０１１年)》的通知',湖南省人民政府,2009-06-11,现行有效,地方政府规章及文件
'湖南省人民政府关于印发《湖南省电子信息产业振兴实施规划(2009-2011年)》的通知',湖南省人民政府,2009-06-10,现行有效,地方政府规章及文件
'湖南省人民政府关于印发《湖南省有色金属产业振兴实施规划(2009-2011年)》的通知',湖南省人民政府,2009-06-03,现行有效,地方政府规章及文件
'湖南省人民政府关于印发《湖南省石化产业振兴实施规划(2009-2011年)》的通知',湖南省人民政府,2009-06-03,现行有效,地方政府规章及文件
'湖南省人民政府关于印发《湖南省纺织产业振兴实施规划(2009-2011年)》的通知',湖南省人民政府,2009-06-03,现行有效,地方政府规章及文件
'临武县人民政府办公室关于印发《临武县产业引导资金管理办法》的通知',郴州市临武县人民政府办公室,2009-06-03,现行有效,地方政府规章及文件
'中共常德市委办公室、常德市人民政府办公室关于印发《常德市产业集群建设2009-2012年实施方案》的通知',中共常德市委办公室;常德市人民政府办公室,2009-05-25,现行有效,地方政府规章及文件
'永州市人民政府办公室关于向园区工业企业重点承接产业转移项目和重点工程建设项目派驻优化经济环境监督员的通知',永州市人民政府办公室,2009-05-24,现行有效,地方政府规章及文件
'关于转发《推动湘西自治州银行卡产业发展指导意见》的通知',湘西土家族苗族自治州人民政府办公室,2009-05-13,现行有效,地方政府规章及文件
'常德市人民政府办公室关于印发《常德市旅游产业发展年度考核奖励办法（试行）》的通知',常德市人民政府办公室,2009-05-11,现行有效,地方政府规章及文件
'澧县人民政府关于促进旅游产业发展的决定',常德市澧县人民政府,2009-05-08,现行有效,地方政府规章及文件
'永兴县人民政府关于加快永兴文化事业和文化产业发展的若干意见',郴州市永兴县人民政府,2009-05-06,现行有效,地方政府规章及文件
'关于印发《湖南省旅游产业发展年度考核奖励办法(试行)实施细则》的通知',湖南省旅游局,2009-04-03,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于印发郴州市承接产业转移专项资金使用管理暂行规定的通知',郴州市人民政府办公室,2009-03-27,现行有效,地方政府规章及文件
'株洲县人民政府关于加快油茶产业发展的意见',株洲市株洲县人民政府,2009-03-24,现行有效,地方政府规章及文件
'岳阳市人民政府关于加快湖南城陵矶临港产业新区建设的若干意见',岳阳市人民政府,2009-03-17,现行有效,地方政府规章及文件
'岳阳市人民政府办公室关于开展为临港产业新区建设办实事活动的通知',岳阳市人民政府办公室,2009-03-17,现行有效,地方政府规章及文件
'中共蓝山县委、蓝山县人民政府关于加强农业产业建设促进农民持续增收的意见',中共永州市蓝山县委;永州市蓝山县人民政府,2009-03-16,现行有效,地方政府规章及文件
'娄底市人民政府关于承接产业转移促进加工贸易及服务外包产业发展的实施意见',娄底市人民政府,2009-03-15,现行有效,地方政府规章及文件
'浏阳市人民政府关于促进花炮产业平稳较快发展的若干意见',浏阳市人民政府,2009-03-11,现行有效,地方政府规章及文件
'浏阳市人民政府关于印发《浏阳市旅游产业发展奖励办法》的通知',浏阳市人民政府,2009-03-09,现行有效,地方政府规章及文件
'湖南省信息产业厅关于推进全省利用信息技术改造和提升传统产业试点工作的通知',湖南省信息产业厅,2009-03-06,现行有效,地方政府规章及文件
'郴州市人民政府关于加快郴州文化事业和文化产业发展的若干意见',郴州市人民政府,2009-03-05,现行有效,地方政府规章及文件
'株洲市人民政府办公室关于印发《2009年省为民办实事市十件民生实事任务分解表》《2009年市十大基础工程十大产业项目任务分解表》和《2009年政府工作要点任务分解表》的通知',株洲市人民政府办公室,2009-03-03,现行有效,地方政府规章及文件
'湘乡市人民政府办公室关于印发湘乡市承接产业转移发展加工贸易规划的通知',湘乡市人民政府办公室,2009-03-01,现行有效,地方政府规章及文件
'湘乡市人民政府办公室关于印发湘乡市承接产业转移发展加工贸易实施细则的通知',湘乡市人民政府办公室,2009-03-01,现行有效,地方政府规章及文件
'中共湖南省委、湖南省人民政府关于进一步促进产业园区发展的意见',中共湖南省委员会;湖南省人民政府,2009-02-17,现行有效,地方政府规章及文件
'中共保靖县委、保靖县人民政府关于加强柑橘产业建设的意见',中共湘西土家族苗族自治州保靖县委;湘西土家族苗族自治州保靖县人民政府,2009-02-13,现行有效,地方政府规章及文件
'中共保靖县委、保靖县人民政府关于进一步加快黄金茶产业发展的意见',中共湘西土家族苗族自治州保靖县委;湘西土家族苗族自治州保靖县人民政府,2009-02-13,现行有效,地方政府规章及文件
'中共蓝山县委、蓝山县人民政府关于加快第三产业发展的实施意见',中共永州市蓝山县委;永州市蓝山县人民政府,2009-02-11,现行有效,地方政府规章及文件
'郴州市人民政府关于加快油茶产业发展的意见',郴州市人民政府,2009-01-13,现行有效,地方政府规章及文件
'湖南省经济委员会关于印发《湖南省造纸产业结构调整“十一五”专项规划》的通知',湖南省经济委员会,2009-01-09,现行有效,地方政府规章及文件
'中共湘潭市委、湘潭市人民政府关于加快四大战略性产业发展的若干意见',中共湘潭市委;湘潭市人民政府,2009,现行有效,地方政府规章及文件
'关于印发《湖南省林业产业龙头企业认定及运行监测办法》的通知',湖南省林业厅,2008-12-31,现行有效,地方政府规章及文件
'耒阳市人民政府关于印发《关于整合农业资金扶持优势产业发展的暂行办法》的通知',耒阳市人民政府,2008-12-17,现行有效,地方政府规章及文件
'关于加快油茶产业发展的意见',湘西土家族苗族自治州人民政府,2008-12-04,现行有效,地方政府规章及文件
'中共株洲市委办公室、株洲市人民政府办公室关于加快承接加工贸易产业转移的实施意见',中共株洲市委办公室;株洲市人民政府办公室,2008-11-27,现行有效,地方政府规章及文件
'益阳市人民政府关于印发《益阳市2008－2013年生猪产业发展纲要》的通知',益阳市人民政府,2008-11-27,现行有效,地方政府规章及文件
'双峰县人民政府关于加快油茶产业发展的意见',娄底市双峰县人民政府,2008-11-26,现行有效,地方政府规章及文件
'益阳市人民政府办公室关于印发《益阳市生猪产业发展目标管理考核办法》的通知',益阳市人民政府办公室,2008-11-20,现行有效,地方政府规章及文件
'湖南省人民政府关于支持有色金属产业又好又快发展的意见',湖南省人民政府,2008-11-11,现行有效,地方政府规章及文件
'常德市人民政府关于积极承接沿海产业转移发展加工贸易的意见',常德市人民政府,2008-10-30,现行有效,地方政府规章及文件
'湖南省人民政府关于支持民航产业发展的意见',湖南省人民政府,2008-10-29,现行有效,地方政府规章及文件
'永州市冷水滩区人民政府关于加快油茶产业发展的意见',永州市冷水滩区人民政府,2008-10-22,现行有效,地方政府规章及文件
'关于进一步加强重点县承接产业转移工作的通知',湖南省承接产业转移发展加工贸易领导小组办公室,2008-09-27,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于印发郴州市承接产业转移促进园区企业用工试行办法的通知',郴州市人民政府办公室,2008-09-19,已失效,地方政府规章及文件
'郴州市人民政府办公室关于印发郴州市加快承接产业转移促进加工贸易发展实施细则等3个文件的通知',郴州市人民政府办公室,2008-09-19,现行有效,地方政府规章及文件
'湖南省财政厅、湖南省商务厅关于印发《湖南省承接产业转移引导资金管理办法》的通知',湖南省财政厅;湖南省商务厅,2008-09-18,现行有效,地方政府规章及文件
'中共益阳市委、益阳市人民政府关于积极承接产业转移大力发展加工贸易的实施意见',中共益阳市委;益阳市人民政府,2008-09-17,现行有效,地方政府规章及文件
'关于印发《湖南省开展承接产业转移示范园区创建活动实施方案》的通知',湖南省承接产业转移发展加工贸易领导小组,2008-09-12,现行有效,地方政府规章及文件
'关于积极支持承接产业转移促进加工贸易发展的意见',湖南省工商行政管理局,2008-09-11,现行有效,地方政府规章及文件
'中共株洲市委、株洲市人民政府关于进一步加快旅游产业发展的实施意见',中共株洲市委;株洲市人民政府,2008-09-10,现行有效,地方政府规章及文件
'湖南省人民政府关于加快油茶产业发展的意见',湖南省人民政府,2008-09-03,现行有效,地方政府规章及文件
'永州市人民政府关于规范和扶持市区房地产业健康发展的意见',永州市人民政府,2008-08-31,现行有效,地方政府规章及文件
'永州市人民政府办公室转发《湖南省承接产业转移发展加工贸易领导小组办公室关于湖南省投资项目代理制试点工作指导意见》的通知',永州市人民政府办公室,2008-08-26,现行有效,地方政府规章及文件
'宁远县承接产业转移优惠政策的若干规定',永州市宁远县商务局,2008-08-26,现行有效,地方政府规章及文件
'关于印发《湖南省鼓励汽车工程机械产业扩大省内配套奖励政策实施办法（暂行）》的通知',湖南省财政厅;湖南省经济委员会,2008-08-21,现行有效,地方政府规章及文件
'转发州农业局《关于加快发展绿色食品产业意见》的通知',湘西土家族苗族自治州人民政府办公室,2008-08-18,现行有效,地方政府规章及文件
'湖南省环保局关于作好承接产业转移促进加工贸易发展的实施意见',湖南省环境保护局,2008-08-04,现行有效,地方政府规章及文件
'保靖县人民政府关于印发《关于进一步促进房地产业发展及规范管理的意见》的通知',湘西土家族苗族自治州保靖县人民政府,2008-07-29,现行有效,地方政府规章及文件
'湖南省人民政府关于加快发展服务外包产业的意见',湖南省人民政府,2008-07-25,现行有效,地方政府规章及文件
'关于加快发展油茶产业的意见',衡阳市衡东县人民政府,2008-07-20,现行有效,地方政府规章及文件
'湖南省商务厅、中国进出口银行湖南省分行关于转发《商务部、中国进出口银行关于服务外包产业发展融资支持工作的指导意见》',湖南省商务厅;中国进出口银行湖南省分行,2008-07-14,现行有效,地方政府规章及文件
'临澧县人民政府办公室关于规范烟花爆竹产业“一站式”税费征收管理的通知',常德市临澧县人民政府办公室,2008-06-26,现行有效,地方政府规章及文件
'岳阳市人民政府办公室关于加快我市茶叶产业发展的意见',岳阳市人民政府办公室,2008-06-20,现行有效,地方政府规章及文件
'湖南省人民政府关于积极承接产业转移促进加工贸易发展的意见',湖南省人民政府,2008-06-14,现行有效,地方政府规章及文件
'关于加快推进旅游产业发展的若干意见',中共湘西土家族苗族自治州委;湘西土家族苗族自治州人民政府,2008-06-14,现行有效,地方政府规章及文件
'岳阳市人民政府办公室关于印发岳阳市旅游产业发展年度考核办法(试行)的通知',岳阳市人民政府办公室,2008-06-13,现行有效,地方政府规章及文件
'长沙高新技术产业开发区管理委员会关于调整新型农村合作医疗实施方案的通知',长沙高新技术产业开发区管理委员会,2008-05-30,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于进一步加快食用菌产业发展的通知',湖南省人民政府办公厅,2008-05-29,现行有效,地方政府规章及文件
'关于建立信息产业项目建设协调服务调度制度的通知',湖南省信息产业厅办公室,2008-05-15,现行有效,地方政府规章及文件
'岳阳市人民政府关于印发岳阳市2008—2012年产业发展规划纲要的通知',岳阳市人民政府,2008-04-28,现行有效,地方政府规章及文件
'湖南省人民政府关于推进生猪产业持续健康发展的意见',湖南省人民政府,2008-04-22,现行有效,地方政府规章及文件
'长沙高新技术产业开发区管理委员会关于印发《长沙高新技术产业开发区鼓励引进龙头企业、推进技术创新、壮大产业集群的若干规定》的通知',长沙高新技术产业开发区管理委员会,2008-04-14,现行有效,地方政府规章及文件
'中共郴州市委、郴州市人民政府关于加快发展旅游文化产业的决定',中共郴州市委;郴州市人民政府,2008-03-28,现行有效,地方政府规章及文件
'宁远县人民政府关于加快生猪产业发展的意见',永州市宁远县人民政府,2008-03-14,现行有效,地方政府规章及文件
'关于加强信息化和信息产业统计工作的通知',湖南省信息产业厅;湖南省统计局,2008-03-12,现行有效,地方政府规章及文件
'中共郴州市委、郴州市人民政府关于加快承接沿海加工贸易产业转移的意见',中共郴州市委;郴州市人民政府,2008-01-22,现行有效,地方政府规章及文件
'湖南省人民政府关于利用信息技术改造和提升传统产业的指导意见',湖南省人民政府,2008-01-16,现行有效,地方政府规章及文件
'转发《林业产业政策要点》的通知',湖南省林业厅,2008-01-11,现行有效,地方政府规章及文件
'永州市人民政府办公室转发市经委《关于承接产业转移推进新型工业化鼓励投资兴办工业的若干意见》等七个意见的通知',永州市人民政府办公室,2007-11-28,现行有效,地方政府规章及文件
'岳阳市人民政府办公室转发市农业局《关于加快发展绿色食品产业意见》的通知',岳阳市人民政府办公室,2007-11-21,现行有效,地方政府规章及文件
'永州市人民政府关于加快生猪产业发展的意见',永州市人民政府,2007-11-14,现行有效,地方政府规章及文件
'郴州市人民政府办公室关于加快湖南省数字视讯产业(郴州)基地建设的实施意见',郴州市人民政府办公室,2007-11-13,现行有效,地方政府规章及文件
'关于加快茶叶产业发展的意见',常德市石门县人民政府,2007-10-23,现行有效,地方政府规章及文件
'湖南省人民政府关于加快发展湘菜产业的意见',湖南省人民政府,2007-09-29,现行有效,地方政府规章及文件
'资阳市人民政府办公室关于加强第三产业统计工作的实施意见',资阳市人民政府办公室,2007-09-27,现行有效,地方政府规章及文件
'岳阳市君山区人民政府办公室关于印发君山区产业发展规划编制工作方案的通知',岳阳市君山区人民政府办公室,2007-09-19,已失效,地方政府规章及文件
'长沙高新技术产业开发区管理委员会关于印发《长沙高新区非上市股份有限公司申请代办股份转让试点资格认定办法》的通知',长沙高新技术产业开发区管理委员会,2007-09-04,现行有效,地方政府规章及文件
'关于加快蔬菜产业发展的意见',湘西土家族苗族自治州人民政府办公室,2007-09-03,现行有效,地方政府规章及文件
'南省人民政府关于鼓励和支持工程机械产业发展的意见',湖南省人民政府,2007-08-30,现行有效,地方政府规章及文件
'关于印发《益阳市旅游产业发展年度考核评比办法》的通知',益阳市人民政府办公室,2007-08-30,现行有效,地方政府规章及文件
'长沙高新技术产业开发区管理委员会关于印发《长沙高新区推进科技企业孵化体系建设的实施办法(暂行)》的通知',长沙高新技术产业开发区管理委员会,2007-08-27,已失效,地方政府规章及文件
'长沙高新技术产业开发区管理委员会《长沙高新区对科技型中小企业投融资平台贷款项目给予财政贴息及对平台服务机构给予奖励的实施办法(暂行)》的通知',长沙高新技术产业开发区管理委员会,2007-08-27,已失效,地方政府规章及文件
'长沙高新技术产业开发区管理委员会关于印发《长沙高新区鼓励高新技术企业在代办股份转让系统进行挂牌的实施办法(暂行)》的通知',长沙高新技术产业开发区管理委员会,2007-08-27,已失效,地方政府规章及文件
'长沙高新技术产业开发区管理委员会关于印发《长沙高新区对科技创新专家、优秀企业家、优秀科技人才给予奖励的实施办法(暂行)》的通知',长沙高新技术产业开发区管理委员会,2007-08-27,已失效,地方政府规章及文件
'长沙高新技术产业开发区管理委员会关于印发《长沙高新区实施品牌、专利、标准化战略的奖励办法(暂行)》的通知',长沙高新技术产业开发区管理委员会,2007-08-27,已失效,地方政府规章及文件
'湖南省信息产业厅关于切实抓好当前电子信息产业安全生产工作的紧急通知',湖南省信息产业厅,2007-08-21,现行有效,地方政府规章及文件
'中共永州市委、永州市人民政府关于加快全市旅游产业发展的决定',中共永州市委;永州市人民政府,2007-08-14,现行有效,地方政府规章及文件
'郴州市人民政府办公室转发市农业局《关于加快发展全市绿色食品产业意见》的通知',郴州市人民政府办公室,2007-07-31,现行有效,地方政府规章及文件
'湖南省人民政府办公厅关于印发湖南省“十一五”高新技术产业发展规划的通知',湖南省人民政府办公厅,2007-07-27,现行有效,地方政府规章及文件
'临澧县人民政府关于加快烟花爆竹产业发展的意见',常德市临澧县人民政府,2007-07-17,现行有效,地方政府规章及文件
'临澧县人民政府关于加快石膏产业发展的意见',常德市临澧县人民政府,2007-07-17,现行有效,地方政府规章及文件
