车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱,车龄
大众 迈腾 2017款 330TSI DSG 豪华型,15.58,25.5,2017,7.8,1.8T,0,4
吉利 缤越 2019款 运动款 260T DCT游侠 国VI,8.58,11.92,2019,3.0,1.5T,1,2
大众 途观 2015款 1.8TSI 自动四驱豪华型,11.88,30.05,2015,12.62,1.8T,0,6
吉利 远景 2020款 1.5L 手动亚运版,4.99,6.5,2020,0.27,1.5L,1,1
大众POLO 2014款 1.6L 自动舒适版,5.9,11.28,2015,5.68,1.6L,0,6
大众 迈腾 2012款 改款 1.8TSI 尊贵型,8.8,27.44,2012,7.19,1.8T,0,9
大众 捷达 2019款 梦想版 1.4L 手动时尚型,5.48,8.66,2019,2.0,1.4L,1,2
福特 福克斯 2018款 两厢经典 1.6L 自动风尚型智行版,8.51,13.33,2018,0.81,1.6L,0,3
本田 艾力绅 2016款 2.4L 豪华版,25.2,31.78,2017,6.8,2.4L,0,4
起亚K5 2011款 2.0L 手动GL,5.88,17.35,2012,9.24,2.0L,1,9
本田 艾力绅 2016款 2.4L 至尊版,23.9,33.63,2016,8.0,2.4L,0,5
丰田 RAV4 2016款 2.0L CVT两驱都市版 国V,15.58,19.19,2018,2.94,2.0L,0,3
斯柯达 速派 2013款 1.8TSI 自动名仕版,8.69,22.1,2015,6.31,1.8T,0,6
吉利 远景 2016款 1.5L 自动幸福版,3.98,7.26,2016,6.0,1.5L,0,5
本田XR-V 2015款 1.8L EXi  CVT舒适版,10.8,16.26,2016,6.1,1.8L,0,5
大众 捷达 2015款 1.6L 自动时尚型,4.8,10.67,2014,5.0,1.6L,0,7
马自达 昂克赛拉 2016款 三厢 1.5L 自动豪华型,8.6,15.08,2016,5.04,1.5L,0,5
马自达 昂克赛拉 2014款 两厢 2.0L 自动旗舰型,7.98,17.36,2014,4.0,2.0L,0,7
大众 速腾 2012款 1.6L 自动舒适型,5.98,16.37,2013,9.91,1.6L,0,8
福特 翼虎 2013款 1.6L GTDi 两驱风尚型,7.58,23.64,2013,11.12,1.6T,0,8
吉利 远景 2015款 1.5L 手动幸福型,3.2,6.39,2015,4.0,1.5L,1,6
起亚 智跑 2016款 2.0L 自动两驱版GLS,8.28,18.76,2016,8.21,2.0L,0,5
福特 蒙迪欧 2013款 2.0L GTDi200时尚型,10.98,22.01,2016,5.4,2.0T,0,5
哈弗M6 2019款 1.5T DCT两驱超值版 国VI,7.58,8.47,2020,1.61,1.5T,0,1
别克GL8 2017款 25S 舒适型 国V,20.5,24.95,2018,7.2,2.5L,0,3
吉利 帝豪GS 2016款 运动版 1.8L 手动领尚型,4.99,9.53,2017,5.05,1.8L,1,4
起亚K5 2016款 1.6T 自动LUX,11.68,19.63,2018,4.0,1.6T,0,3
宝马3系 2017款 320Li 时尚型,21.88,35.38,2017,8.3,2.0T,0,4
马自达6 2013款 2.0L 自动时尚型,5.9,16.04,2014,7.5,2.0L,0,7
起亚KX CROSS 2019款 1.6L 自动灵动天窗版 国V,7.18,9.87,2019,2.0,1.6L,0,2
宝马7系 2011款 730Li典雅型(进口),31.2,97.48,2013,7.49,3.0L,0,8
大众POLO 2016款 1.4L 自动风尚型,6.0,9.54,2016,2.78,1.4L,0,5
日产 蓝鸟 2016款 1.6L CVT炫酷版,8.58,13.45,2018,4.4,1.6L,0,3
大众 途观 2012款 1.8TSI 自动两驱菁英版,9.28,27.66,2013,9.1,1.8T,0,8
哈弗H6 2016款 升级版 1.5T 手动两驱精英型,5.68,11.05,2017,6.9,1.5T,1,4
奔驰GLA级 2016款 GLA 200 时尚型,17.98,31.46,2016,1.16,1.6T,0,5
大众CC 2010款 2.0TSI 尊贵型,8.88,29.07,2010,11.3,2.0T,0,11
福特 探险者 2016款 2.3T 精英版(进口),23.68,54.25,2016,8.0,2.3T,0,5
大众 捷达 2015款 质惠版 1.6L 手动时尚型,4.38,9.29,2016,7.29,1.6L,1,5
宝马3系 2015款 320i 超悦版时尚型,17.2,35.6,2015,6.02,2.0T,0,6
大众 高尔夫 2012款 1.4TSI 自动舒适型,6.88,15.72,2013,11.0,1.4T,0,8
大众 速腾 2018款 180TSI DSG臻享版,10.3,16.37,2018,2.88,1.2T,0,3
本田 雅阁 2016款 混动 2.0L 锐酷版,16.66,26.03,2017,5.4,2.0L,0,4
本田 奥德赛 2015款 2.4L 智享版,18.5,28.96,2015,4.82,2.4L,0,6
雪佛兰 创界 2019款 435T Redline CVT两驱驰锐版 国VI,10.8,17.36,2021,0.01,1.3T,0,0
本田 奥德赛 2019款 2.0L 锐·畅享版,24.5,27.77,2020,3.66,2.0L,0,1
现代 伊兰特 2011款 1.6L 手动舒适型,1.8,9.75,2010,8.0,1.6L,1,11
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.98,10.38,2016,9.88,1.6L,0,5
宝马X3 2018款 xDrive28i 豪华套装 国VI,36.8,46.22,2019,5.78,2.0T,0,2
现代ix35 2015款 2.0L 自动两驱智能型 国IV,7.88,19.19,2015,7.75,2.0L,0,6
日产 阳光 2015款 1.5XE 手动舒适版,5.1,8.66,2017,2.68,1.5L,1,4
雪佛兰 科沃兹 2016款 1.5L 自动欣悦版,5.99,10.84,2017,8.14,1.5L,0,4
大众 帕萨特 2015款 1.8TSI DSG御尊版,11.8,26.03,2016,8.8,1.8T,0,5
宝马3系 2018款 318Li,23.0,33.63,2018,2.3,1.5T,0,3
大众 速腾 2017款 1.6L 自动时尚型,8.35,15.61,2017,7.3,1.6L,0,4
现代 领动 2016款 1.6L 自动智炫·豪华型,8.48,14.52,2018,1.72,1.6L,0,3
大众 宝来 2019款 改款 1.5L 自动时尚型 国V,9.78,13.24,2019,4.8,1.5L,0,2
大众 捷达 2015款 质惠版 1.6L 手动时尚型,4.38,9.29,2016,7.29,1.6L,1,5
哈弗H6 2018款 红标 运动版 1.5T 自动两驱精英型,7.98,12.27,2018,5.29,1.5T,0,3
大众 速腾 2015款 230TSI 自动舒适型,8.55,17.45,2015,6.0,1.4T,0,6
大众 途观 2016款 300TSI 自动四驱风尚视野版,14.38,26.68,2016,7.0,1.8T,0,5
大众 宝来 2017款 1.6L 自动时尚型,7.8,13.0,2017,5.83,1.6L,0,4
丰田 凯美瑞 2018款 2.5HG 豪华版,18.68,26.03,2018,9.18,2.5L,0,3
大众 高尔夫 2011款 1.4TSI 自动舒适型,6.9,16.26,2012,8.1,1.4T,0,9
别克GL8 2018款 28T 尊贵型 国VI,24.88,29.62,2019,2.2,2.0T,0,2
丰田 雷凌双擎E+ 2019款 1.8PH GS CVT精英版,14.8,22.12,2020,0.07,1.8L,0,1
大众 帕萨特 2011款 1.8TSI 自动尊荣版,7.58,23.42,2012,6.0,1.8T,0,9
大众 2019款 宝来·传奇 1.5L 自动时尚型 国V,7.88,11.81,2019,1.12,1.5L,0,2
马自达CX-4 2020款 2.0L 自动两驱蓝天品位版,15.88,18.43,2021,0.01,2.0L,0,0
大众POLO 2012款 1.6L Cross POLO MT,4.98,12.36,2013,9.02,1.6L,1,8
福特 福克斯 2017款 三厢 EcoBoost 125 手动超能风尚型智行版,5.55,14.2,2018,0.85,1.0T,1,3
大众 朗逸 2017款 1.6L 自动风尚版,7.88,12.91,2018,7.88,1.6L,0,3
大众 高尔夫 2014款 1.4TSI 自动豪华型,8.0,18.01,2014,13.4,1.4T,0,7
别克 君越 2012款 2.4L SIDI雅致版,6.5,25.61,2012,15.82,2.4L,0,9
奥迪Q2L 2018款 35TFSI 上市专享版 国V,16.98,23.75,2019,2.99,1.4T,0,2
吉利 帝豪GL 2017款 1.8L 自动精英型,5.88,10.4,2017,2.81,1.8L,0,4
哈弗H6 2011款 2.0L 手动两驱精英型,3.08,11.48,2012,6.69,2.0L,1,9
宝马2系多功能旅行车 2015款 218i 领先型(进口),13.1,29.29,2015,13.74,1.5T,0,6
大众 迈腾 2019款 330TSI DSG 领先型 国V,16.75,23.35,2018,3.48,2.0T,0,3
别克GL8 2017款 ES 28T 舒适型 国V,26.7,31.47,2018,6.34,2.0T,0,3
宝马3系 2017款 320Li 时尚型,21.8,35.38,2017,8.61,2.0T,0,4
大众POLO 2013款 1.6L 自动舒适版,4.89,12.15,2013,10.55,1.6L,0,8
现代 途胜 2015款 1.6T 双离合两驱智能型,11.0,19.53,2017,5.24,1.6T,0,4
大众 速腾 2012款 1.4TSI 自动时尚型,6.5,16.91,2013,10.01,1.4T,0,8
大众 帕萨特 2014款 1.8TSI DSG御尊版,9.98,26.03,2014,13.88,1.8T,0,7
福特 锐界 2018款 EcoBoost 245 两驱豪锐型 7座 国V,21.8,29.29,2019,3.0,2.0T,0,2
现代 领动 2016款 1.6L 自动智炫·精英型,8.1,13.0,2018,1.33,1.6L,0,3
马自达CX-4 2016款 2.0L 自动两驱蓝天品位版,9.98,18.43,2016,11.57,2.0L,0,5
大众 捷达 2013款 1.6L 手动舒适型,3.98,10.67,2014,10.47,1.6L,1,7
奔驰C级 2011款 C 180K 经典型,10.3,33.43,2012,8.34,1.6T,0,9
奔驰CLA级 2016款 CLA 220 4MATIC(进口),20.28,34.52,2016,9.0,2.0T,0,5
本田 奥德赛 2018款 2.4L 豪华版,21.5,27.12,2019,6.0,2.4L,0,2
大众 高尔夫新能源 2015款 GTE(进口),14.32,31.35,2017,2.1,1.4T,0,4
大众 朗行 2015款 1.6L 手动风尚版,6.2,12.25,2017,5.1,1.6L,1,4
奔驰C级 2010款 C 180K 经典型,8.98,33.43,2010,14.0,1.6T,0,11
大众 迈腾 2017款 330TSI DSG 豪华型,17.7,25.5,2018,6.62,1.8T,0,3
奥迪A6L 2019款 45 TFSI 臻选致雅型,36.5,47.09,2019,1.2,2.0T,0,2
大众 朗逸 2018款 280TSI DSG舒适版 国V,10.48,15.95,2018,2.4,1.4T,0,3
起亚K3 2013款 1.6L 自动DLX,5.68,14.31,2013,8.75,1.6L,0,8
宝马X1 2019款 sDrive18Li 尊享型,20.68,32.22,2019,4.54,1.5T,0,2
大众 朗逸 2018款 280TSI DSG舒适版 国V,12.5,15.95,2018,4.51,1.4T,0,3
大众POLO 2011款 1.6L 自动致尚版,4.16,12.15,2012,9.1,1.6L,0,9
大众 捷达 2017款 1.5L 自动时尚型,6.98,10.38,2018,4.26,1.5L,0,3
宝马5系 2014款 525Li 豪华设计套装,24.3,54.23,2014,14.0,2.0T,0,7
马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,8.38,13.67,2016,5.0,1.5L,0,5
宝马X1新能源 2020款 xDrive30Le 尊享型,26.9,43.4,2019,1.61,1.5T,0,2
大众 宝来 2012款 1.6L 手动时尚型,3.3,11.7,2011,9.0,1.6L,1,10
大众 高尔夫 2014款 1.4TSI 自动舒适型,7.98,16.81,2014,8.21,1.4T,0,7
宝马5系 2014款 525Li 豪华设计套装,24.88,54.23,2014,12.11,2.0T,0,7
吉利 嘉际 2019款 1.8TD 自动悦享型,9.98,13.0,2019,0.95,1.8T,0,2
大众CC 2016款 2.0TSI 豪华型,17.58,30.81,2017,3.5,2.0T,0,4
马自达 昂克赛拉 2019款 云控版 三厢 1.5L 自动舒适型 国VI,10.18,13.45,2019,3.76,1.5L,0,2
英菲尼迪Q70L 2019款 Q70L 2.0T 精英版(进口),24.28,39.38,2019,6.81,2.0T,0,2
大众 高尔夫 2012款 2.0TSI GTI,9.98,25.6,2012,13.0,2.0T,0,9
奥迪A4L 2019款 40 TFSI 时尚型 国VI,26.58,36.45,2020,3.1,2.0T,0,1
大众 捷达 2019款 梦想版 1.5L 自动时尚型,6.88,10.29,2019,7.99,1.5L,0,2
日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,15.68,21.63,2018,3.54,2.0L,0,3
大众 途观 2012款 1.8TSI 自动四驱风尚版,7.6,27.22,2013,13.1,1.8T,0,8
吉利 远景SUV 2016款 1.3T CVT豪华型,6.28,10.3,2017,4.8,1.3T,0,4
奥迪Q7 2012款 3.0 TFSI 技术型(200kW)(进口),24.8,95.63,2012,14.7,3.0T,0,9
吉利 帝豪 2015款 三厢 1.3T CVT向上版,4.72,10.62,2016,2.5,1.3T,0,5
大众 迈腾 2018款 改款 330TSI DSG 豪华型,17.8,25.5,2019,4.05,1.8T,0,2
大众 朗逸 2017款 1.6L 自动风尚版,7.4,12.91,2017,6.61,1.6L,0,4
大众 捷达 2017款 1.5L 自动时尚型,6.98,10.38,2018,4.26,1.5L,0,3
大众 迈腾 2018款 改款 330TSI DSG 豪华型,18.5,25.5,2018,7.6,1.8T,0,3
现代 途胜 2015款 1.6T 双离合两驱智能型,10.98,19.53,2017,6.2,1.6T,0,4
奥迪Q5 2015款 40 TFSI 技术型,19.8,46.85,2015,9.7,2.0T,0,6
本田 奥德赛 2015款 改款 2.4L 豪华版,19.6,27.12,2017,5.0,2.4L,0,4
现代 索纳塔九 2015款 1.6T GLS智能型,9.3,21.14,2015,10.27,1.6T,0,6
大众 途观 2013款 1.8TSI 自动两驱舒适版,9.3,25.81,2014,9.7,1.8T,0,7
宝马3系GT 2014款 320i 领先型(进口),21.68,48.3,2015,8.99,2.0T,0,6
福特 福克斯 2017款 三厢 1.6L 自动舒适型智行版,6.5,13.76,2017,6.27,1.6L,0,4
大众 朗逸 2017款 230TSI DSG舒适版,10.9,15.95,2018,5.79,1.4T,0,3
大众 迈腾 2017款 280TSI DSG 领先型,12.68,22.78,2017,7.33,1.4T,0,4
大众 帕萨特 2017款 330TSI DSG尊荣版,15.2,24.2,2018,3.48,1.8T,0,3
哈弗H2 2016款 红标 1.5T 手动两驱精英型,4.46,11.27,2016,10.9,1.5T,1,5
别克GL8 2017款 ES 28T 尊享型 国V,25.5,35.81,2016,5.38,2.0T,0,5
大众 宝来 2011款 1.6L 自动时尚型,3.5,13.0,2010,10.2,1.6L,0,11
大众POLO 2019款 Plus 1.5L 自动全景乐享版,9.9,11.93,2020,1.06,1.5L,0,1
奔驰GLA级 2015款 GLA 200(进口),17.38,31.46,2015,3.39,1.6T,0,6
大众 途观 2010款 1.8TSI 自动四驱风尚版,6.88,27.01,2010,13.0,1.8T,0,11
大众 迈腾 2016款 1.8TSI 智享领先型,11.68,24.18,2016,9.83,1.8T,0,5
现代 领动 2016款 1.6L 自动智炫·精英型,7.4,13.0,2017,5.2,1.6L,0,4
奔驰C级 2011款 C 200 CGI 优雅型,11.3,37.77,2012,8.5,1.8T,0,9
本田 奥德赛 2017款 2.4L 智享版,22.6,28.96,2017,4.77,2.4L,0,4
奥迪A3 2016款 Sportback 35 TFSI 领英型,13.3,22.71,2016,4.55,1.4T,0,5
奥迪A5 2010款 2.0TFSI Coupe 风尚版(进口),10.8,61.65,2010,14.6,2.0T,0,11
起亚 智跑 2012款 2.0L 自动两驱版GLS,6.9,20.93,2013,7.32,2.0L,0,8
中华H3 2017款 1.5L 手动精英型,4.18,6.94,2019,2.88,1.5L,1,2
大众CC 2018款 1.8TSI 豪华型,17.88,29.18,2018,4.65,1.8T,0,3
马自达 昂克赛拉 2020款 次世代 2.0L 自动质雅版,13.58,15.51,2020,1.94,2.0L,0,1
大众 迈腾 2012款 旅行版 2.0TSI 舒适型(进口),10.8,39.14,2012,10.12,2.0T,0,9
吉利 帝豪GL 2018款 1.4T 自动精英智联型,6.6,10.83,2018,4.06,1.4T,0,3
大众 朗逸 2017款 1.6L 自动舒适版,8.98,14.53,2019,3.01,1.6L,0,2
大众CC 2015款 2.0TSI 至尊型,14.6,32.98,2015,10.5,2.0T,0,6
哈弗H1 2016款 蓝标 1.5L AMT豪华型,4.58,8.46,2015,5.83,1.5L,0,6
大众 捷达 2019款 梦想版 1.5L 手动时尚型,5.68,9.2,2018,3.58,1.5L,1,3
大众 捷达 2015款 质惠版 1.4L 手动时尚型,4.38,8.67,2016,5.21,1.4L,1,5
大众 帕萨特 2017款 330TSI DSG尊荣版,14.01,24.2,2017,7.7,1.8T,0,4
奥迪A4L 2012款 2.0 TFSI 自动舒适型,11.88,35.81,2012,6.8,2.0T,0,9
日产 奇骏 2017款 2.5L CVT豪华版 4WD,16.98,26.03,2018,4.49,2.5L,0,3
吉利 博越 2016款 1.8TD 自动智联型,7.3,13.87,2017,7.3,1.8T,0,4
大众 捷达 2012款 1.6L 前卫,4.68,9.64,2012,6.66,1.6L,1,9
大众 迈腾 2017款 330TSI DSG 豪华型,16.5,25.5,2017,8.98,1.8T,0,4
宝马5系 2014款 520Li 典雅型,35.0,47.28,2015,9.63,2.0T,0,6
本田 歌诗图 2012款 2.4L 豪华版,11.5,28.2,2014,17.44,2.4L,0,7
大众 途观 2016款 280TSI 自动两驱丝绸之路风尚版,13.1,21.14,2018,1.79,1.4T,0,3
大众 高尔夫 2017款 1.6L 自动舒适百万辆纪念版,9.9,15.73,2017,3.69,1.6L,0,4
奥迪A4L 2017款 40 TFSI 进取型,21.98,32.54,2017,4.7,2.0T,0,4
大众 帕萨特 2017款 280TSI DSG尊荣版,14.5,23.0,2019,5.78,1.4T,0,2
大众 迈腾 2018款 330TSI DSG 领先型,15.8,23.87,2018,6.33,1.8T,0,3
大众 朗逸 2018款 1.5L 自动风尚版 国V,8.8,13.56,2018,5.82,1.5L,0,3
福特 福克斯 2012款 两厢经典 1.8L 自动基本型,3.58,11.92,2012,7.85,1.8L,0,9
昌河 福运 2012款 1.2L基本型,1.38,4.32,2012,11.62,1.2L,1,9
奥迪Q5 2012款 2.0TFSI 技术型,15.98,46.41,2013,8.21,2.0T,0,8
丰田 锐志 2008款 2.5S 特别纪念版,7.8,26.14,2009,16.5,2.5L,0,12
大众 Passat领驭 2011款 2.0L 手动尊享型,4.36,18.43,2012,17.0,2.0L,1,9
日产 逍客 2017款 2.0L CVT精英版 国V,11.98,16.69,2018,4.6,2.0L,0,3
大众 捷达 2017款 1.5L 自动时尚型,6.98,10.38,2018,4.26,1.5L,0,3
大众 宝来 2012款 1.6L 自动豪华型,5.3,14.6,2011,6.93,1.6L,0,10
大众 迈腾 2015款 改款 1.8TSI 豪华型,10.8,25.27,2015,14.01,1.8T,0,6
本田 杰德 2013款 1.8L 自动舒适版 5座,8.8,16.26,2014,9.38,1.8L,0,7
别克GL8 2014款 2.4L CT豪华商务舒适版,16.5,31.47,2016,13.82,2.4L,0,5
大众 速腾 2015款 230TSI 自动舒适型,9.38,17.45,2016,3.0,1.4T,0,5
大众POLO 2007款 1.6L Cross POLO AT,3.08,12.81,2009,8.0,1.6L,0,12
大众 宝来 2019款 1.5L 自动时尚型,9.18,13.24,2019,4.04,1.5L,0,2
大众 速腾 2015款 230TSI 自动舒适型,8.84,17.45,2016,5.7,1.4T,0,5
丰田 雷凌 2017款 1.2T G CVT精英版,8.5,13.76,2017,5.83,1.2T,0,4
奔驰A级 2020款 A 180 L 运动轿车,19.98,24.94,2019,1.39,1.3T,0,2
大众 速腾 2015款 230TSI 自动舒适型,9.38,17.45,2016,3.0,1.4T,0,5
奔驰C级 2019款 C 180 L 时尚型运动版,24.48,34.28,2019,5.23,1.6T,0,2
雪佛兰 科沃兹 2016款 1.5L 自动欣享版,6.48,9.65,2016,3.27,1.5L,0,5
起亚 霸锐 2008款 3.8L 豪华版 国IV(进口),8.5,43.2,2009,14.6,3.8L,0,12
起亚K5 2012款 2.0L 自动DLX,8.0,20.49,2013,13.68,2.0L,0,8
大众 捷达 2017款 1.5L 自动时尚型,6.48,10.38,2018,2.8,1.5L,0,3
本田XR-V 2017款 1.8L EXi CVT舒适版,11.89,16.26,2017,7.9,1.8L,0,4
日产 天籁 2021款 2.0L XL Upper AD1 智行领航版,17.88,21.69,2021,0.01,2.0L,0,0
大众CC 2018款 1.8TSI 豪华型,17.88,29.18,2018,4.8,1.8T,0,3
大众 宝来 2019款 280TSI DSG豪华型,11.3,16.93,2018,3.47,1.4T,0,3
现代 名图 2014款 1.8L 自动智能型GLS,8.18,16.26,2015,6.2,1.8L,0,6
大众 捷达 2010款 1.6L 伙伴,3.2,8.23,2013,9.12,1.6L,1,8
日产 蓝鸟 2019款 1.6L CVT炫酷版 国VI,9.0,13.45,2019,0.6,1.6L,0,2
大众POLO 2019款 Plus 1.5L 自动Beats潮酷版,9.65,13.45,2020,2.06,1.5L,0,1
雪佛兰 科鲁兹 2015款 1.5L 经典 SL MT,4.9,9.76,2016,6.19,1.5L,1,5
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,24.8,32.0,2016,6.43,2.0T,0,5
现代 名图 2017款 1.8L 自动尊贵型DLX 国V,9.63,17.35,2018,6.3,1.8L,0,3
大众 捷达 2015款 质惠版 1.6L 自动时尚型,5.68,10.38,2016,5.31,1.6L,0,5
大众 迈腾 2018款 330TSI DSG 领先型,16.38,23.87,2018,4.5,1.8T,0,3
别克 昂科拉 2016款 18T 自动四驱全能旗舰型,8.9,20.61,2018,2.96,1.4T,0,3
大众POLO 2013款 1.6L 自动舒适版,5.22,12.15,2014,5.5,1.6L,0,7
日产 奇骏 2012款 2.5L CVT豪华版 4WD,9.99,26.03,2014,15.18,2.5L,0,7
日产 骐达 2016款 1.6L CVT智行版,8.9,13.34,2017,5.21,1.6L,0,4
别克GL8 2017款 25S 豪华型 国V,19.5,27.13,2018,4.52,2.5L,0,3
大众POLO 2016款 1.4L 手动风尚型,5.0,8.24,2016,2.2,1.4L,1,5
本田 思铂睿 2015款 2.4L 尊贵版,14.18,24.94,2016,9.45,2.4L,0,5
大众 桑塔纳 2016款 1.4L 手动风尚版,4.66,9.22,2017,1.58,1.4L,1,4
大众 高尔夫 2017款 230TSI 自动舒适百万辆纪念版,10.28,16.81,2017,6.1,1.4T,0,4
丰田 YARiS L 致享 2019款 1.5E CVT魅动版 国VI,6.98,9.53,2019,4.58,1.5L,0,2
大众 速腾 2015款 230TSI 自动舒适型,9.38,17.45,2016,3.0,1.4T,0,5
大众 迈腾 2017款 330TSI DSG 豪华型,16.7,25.5,2017,5.33,1.8T,0,4
大众POLO 2013款 1.4L 手动舒适版,4.08,10.3,2013,6.13,1.4L,1,8
大众CC 2016款 1.8TSI 尊贵型,14.78,27.44,2016,12.69,1.8T,0,5
宝马3系 2017款 320Li 时尚型,23.0,35.38,2017,5.56,2.0T,0,4
起亚K3 2016款 1.6L 自动GL,7.26,11.59,2018,4.38,1.6L,0,3
雪佛兰 科沃兹 2016款 1.5L 手动欣享版,4.6,8.67,2017,2.41,1.5L,1,4
大众 迈腾 2018款 改款 330TSI DSG 豪华型,18.5,25.5,2018,7.6,1.8T,0,3
大众 帕萨特 2015款 1.8TSI DSG尊荣版,11.0,23.75,2015,8.62,1.8T,0,6
现代 名图 2016款 1.8L 自动智能型GLS,8.58,16.26,2016,7.87,1.8L,0,5
宝马2系旅行车 2016款 218i 时尚型,14.13,25.49,2017,4.2,1.5T,0,4
起亚K5 2012款 2.0L 自动DLX,6.8,20.49,2012,8.5,2.0L,0,9
现代 朗动 2012款 1.6L 手动领先型,4.99,12.57,2014,4.61,1.6L,1,7
哈弗H6 2016款 升级版 1.5T 自动两驱精英型,6.8,12.35,2016,4.69,1.5T,0,5
现代 朗动 2016款 1.6L 自动尊贵型,6.68,13.87,2016,6.5,1.6L,0,5
哈弗H6 Coupe 2018款 蓝标 1.5T 自动两驱豪华型,8.2,12.92,2018,2.48,1.5T,0,3
本田CR-V 2007款 2.4L 自动四驱豪华版,7.87,26.03,2009,13.0,2.4L,0,12
大众 迈腾 2012款 旅行版 2.0TSI 舒适型(进口),12.98,39.14,2013,11.6,2.0T,0,8
日产 骐达 2016款 1.6L CVT智行版,9.6,13.34,2019,1.86,1.6L,0,2
奔驰C级 2018款 C 200 L 运动版,27.0,38.08,2018,3.24,2.0T,0,3
吉利 远景 2018款 1.5L 自动幸福版,4.35,7.48,2018,4.96,1.5L,0,3
现代 瑞纳 2010款 三厢 1.4L 自动时尚型GT,3.58,9.87,2011,11.58,1.4L,0,10
大众 途观 2015款 1.8TSI 自动两驱豪华型,10.58,28.2,2015,15.97,1.8T,0,6
奔驰C级 2019款 改款 C 260 L 运动版,29.38,37.64,2019,1.58,1.5T,0,2
大众 甲壳虫 2017款 180TSI 尚乐版(进口),15.68,23.62,2017,3.72,1.2T,0,4
日产 天籁 2019款 2.0L XL Upper 智行版,18.68,21.69,2019,2.18,2.0L,0,2
大众 宝来 2020款 1.5L 自动时尚型,8.99,13.24,2020,0.01,1.5L,0,1
大众 捷达 2017款 1.4L 手动时尚型,5.2,8.67,2019,2.2,1.4L,1,2
大众CC 2016款 1.8TSI 豪华型,17.8,29.18,2018,7.3,1.8T,0,3
大众 迈腾 2012款 改款 1.8TSI 领先型,9.38,23.86,2013,7.48,1.8T,0,8
日产 逍客 2019款 2.0L CVT豪华版,13.68,18.32,2019,2.9,2.0L,0,2
奥迪Q3 2015款 35 TFSI quattro 舒适型,15.8,38.73,2015,13.31,2.0T,0,6
现代 瑞奕 2014款 1.4L 自动GLX,4.9,9.54,2015,5.76,1.4L,0,6
本田 思铂睿 2009款 2.4L 尊贵版,6.98,27.12,2010,14.0,2.4L,0,11
日产 逍客 2016款 2.0L CVT旗舰版,12.68,20.6,2017,4.82,2.0L,0,4
大众POLO 2019款 Plus 1.5L 自动Beats潮酷版,9.65,13.45,2020,2.06,1.5L,0,1
马自达 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,9.98,15.19,2018,2.87,1.5L,0,3
大众 速腾 2014款 改款 1.6L 自动领先型,7.8,15.72,2015,4.73,1.6L,0,6
奥迪A5 2010款 2.0TFSI Sportback 技术型(进口),13.5,57.31,2011,8.87,2.0T,0,10
大众 高尔夫·嘉旅 2018款 1.6L 自动舒适型,7.78,15.62,2018,8.25,1.6L,0,3
宝马X1 2016款 sDrive18Li 尊享型,17.58,33.22,2016,3.05,1.5T,0,5
别克GL8 2017款 25S 豪华型 国V,19.8,27.13,2019,3.3,2.5L,0,2
吉利 博越 2016款 1.8TD 自动智慧型,8.5,15.17,2017,3.38,1.8T,0,4
大众 高尔夫 2015款 1.4TSI 自动舒适型,8.68,16.81,2016,10.54,1.4T,0,5
日产 轩逸 2012款 1.6XE CVT舒适版,6.98,14.0,2015,7.92,1.6L,0,6
起亚K2 2015款 三厢 1.4L AT GLS,4.7,9.32,2015,6.0,1.4L,0,6
宝马3系 2016款 320Li 进取型,19.6,35.36,2016,12.24,2.0T,0,5
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,6.68,16.27,2015,3.61,1.4T,0,6
大众 速腾 2014款 1.6L 自动舒适型,6.5,16.37,2013,8.89,1.6L,0,8
日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,15.5,21.63,2019,3.72,2.0L,0,2
奥迪Q3 2017款 30 TFSI 时尚型,17.18,28.14,2017,4.62,1.4T,0,4
丰田 凯美瑞 2016款 2.0E 十周年纪念精英版,14.2,20.39,2017,6.6,2.0L,0,4
大众 捷达 2010款 1.6L 伙伴,3.2,8.23,2013,9.12,1.6L,1,8
日产 天籁 2013款 2.0L XL舒适版,12.4,20.17,2016,8.13,2.0L,0,5
奔驰E级 2011款 E 260 CGI Coupe(进口),14.0,67.08,2012,14.54,1.8T,0,9
奔驰GLC级 2019款 GLC 200 L 4MATIC,33.8,42.42,2019,4.11,2.0T,0,2
起亚K3 2016款 1.6L 手动GL,5.5,10.51,2016,4.21,1.6L,1,5
大众 捷达 2015款 质惠版 1.4L 手动时尚型,4.38,8.67,2016,7.0,1.4L,1,5
大众 途观 2015款 1.8TSI 自动两驱舒适版,10.88,25.81,2015,9.15,1.8T,0,6
大众 帕萨特 2016款 330TSI DSG尊荣版,13.58,24.2,2016,9.01,1.8T,0,5
大众 捷达 2019款 梦想版 1.5L 手动时尚型,5.68,9.2,2018,3.58,1.5L,1,3
哈弗F5 2018款 1.5T i范,9.8,13.89,2019,0.69,1.5T,0,2
